"","athlete","licensed_tournament","music","home","basketball_court","sponsors","coach","team_group_crew_squad","tournament_competition","realistic_accurate","franchise_team"
"928263",1,1,1,1,1,1,1,1,1,0,0
"928463",0,1,0,0,0,0,1,1,0,1,1
