"","story","war","team_group_crew_squad","enemy","realistic_accurate","epic","battle","army","licensed_content_cultural_products","dangerous"
"604704",1,1,1,0,0,0,0,0,0,0
"621364",0,1,0,1,1,0,0,0,0,0
"639414",1,1,1,1,1,1,1,1,0,0
"996871",0,0,0,1,0,0,0,1,1,1
