"","hostile_aggressive","armor","survive","building_structure","level_stage","underground","capture","bomb","enemy","human_race_mankind","ground_on_land","soldier","weapon","licensed_content_video_games","dangerous","machine","mystery"
"929921",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
"936124",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1
