"","fight","adventure","battle","destroy_devastate_wreck","defeat","solve","collect_gather","rescue","defend","combat","mission","attack"
"605745",1,1,0,0,0,0,0,0,0,0,0,0
"606303",0,0,1,0,0,0,0,0,0,0,0,0
"611857",0,0,0,1,0,0,0,0,0,0,0,0
"621319",0,0,1,0,1,1,1,0,0,0,0,0
"625928",0,0,0,0,0,0,0,1,1,0,0,0
"632801",0,0,0,0,1,0,0,1,0,0,0,0
"635632",0,0,0,0,1,0,0,0,0,0,0,0
"636218",1,0,0,0,0,0,0,0,0,0,0,0
"637876",0,0,0,0,0,0,0,0,0,1,0,0
"641824",0,0,0,0,0,0,1,1,0,0,1,1
"980074",1,0,1,0,0,0,0,0,0,0,1,0
