"","battle","aerial","fly","history","plane","combat","world_war_ii","licensed","move_special_move","chase_pursue","fast","enemy","weapon","action","fight","retro","pilot","attack","boat","missile","ground_on_land","team_group_crew_squad","mission","bomb","sea_ocean","realistic_accurate","defend","japan","gun"
"632821",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"632964",0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"651837",1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0
"672361",0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,1,1
