"","discover_reveal","dangerous","mystery","adventure","human_race_mankind","explore","level_stage","puzzle","magic","collect_gather"
"682786",1,1,1,1,0,0,0,0,0,0
"718933",1,0,1,0,1,1,0,0,0,0
"975243",0,1,0,0,0,0,1,1,1,1
