"","comedy_humor_funny","fantasy","all_ages","licensed_content_cultural_products","level_stage","explore","adventure","puzzle","monster","multiplayer","dream","chase_pursue","city","criminal","mystery","find","united_states","history","discover_reveal","clue","battle","truth","search","conspiracy","action","brutal_violent_cruel","kill"
"622897",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"988983",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
