"","hostile_aggressive","escape","laboratory","hit_strike_blow","armor","survive","online","singleplayer","building_structure","explode_blast","level_stage","underground","avoid","capture","kill","bomb","enemy","battle","human_race_mankind","multiplayer","ground_on_land","soldier","fight","destroy_devastate_wreck","weapon","licensed_content_video_games","guide","dangerous","smash","find","climb","dark_no_light","build_construct","clone","machine","mystery","dig_excavate","teleport"
"929921",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"936124",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
