"","compete","rhythm","perform_entertain","singing","timing_coordination","match_link_couple","explode_blast","activate","dance","interact","create_design","battle","move_special_move","music","mini_game","drum","win"
"932935",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"935834",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"937722",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"937889",0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
"938140",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"938735",1,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,0
"938870",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"942056",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"942807",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"942926",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
