"","realistic_accurate","team_group_crew_squad","race","destroy_devastate_wreck","compete","combat","enemy","online","attack","licensed_content_video_games","fast","singleplayer","tournament_competition","fight","move_special_move","action"
"928392",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"928393",0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"932731",1,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0
"932887",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"935830",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"938450",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"938502",1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0
"938743",0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
"939739",0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"941954",1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0
"942038",0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0
"943413",0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
