"","reading","comedy_humor_funny","emotion","fantasy","happy_upbeat_cheerful","teaching","book","life","all_ages","licensed_content_cultural_products","lively_vibrant_colorful","level_stage","explore","social","adventure","help_support","puzzle","monster","multiplayer","dream","chase_pursue","witness","city","suspect","criminal","tension_suspense","mystery","find","trade","united_states","history","hollywood","discover_reveal","clue","detective_sleuth","battle","truth","search","interview_interrogate","conspiracy","drugs_contraband","action","corrupt","burn_ignite","brutal_violent_cruel","kill"
"622897",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"988983",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
