"","tournament_competition","licensed_content_cultural_products","realistic_accurate","story","destroy_devastate_wreck","team_group_crew_squad","mystery","race","city","action","level_stage","enemy","fast","licensed_content_video_games","horde_wave_mass","weapon","move_special_move","human_race_mankind"
"941937",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"944252",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"944908",0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"946181",0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"946195",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"949120",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"952624",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"954120",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"954363",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"954383",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"954981",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"957942",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"957950",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"958083",1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"958254",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"958262",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"958432",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"958882",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"960292",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"960381",1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"960731",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"961213",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"961399",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"961698",0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
"974354",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"975175",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"976277",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
