"","discover_reveal","dangerous","animal","mystery","adventure","human_race_mankind","travel","journey","explore","planet","place_position","weather","ball","physics","level_stage","puzzle","navigate","power_control_rule","manipulate","platform","magic","collect_gather","terrain"
"682786",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"718933",1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"975243",0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
