"","fall","jump","cooperate","fix_repair","dream","adventure","restore","journey","explode_blast","wield"
"708705",1,1,1,0,0,0,0,0,0,0
"716879",0,0,0,1,1,1,0,0,0,0
"723514",0,0,0,0,0,1,1,1,1,1
