"","future","invasion","clan","mystery","family","stranger_outsider","home","exile_banish","prison","ghost","girl_woman","psychic","invisible","emotion","special_powers","global_international_around_the_world","challenge","wilderness_nature","free_roaming","music"
"672897",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"673021",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0
"737345",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
