"","realistic_accurate","fast","race","tournament_competition","enemy","team_group_crew_squad","compete"
"698630",1,1,1,1,0,0,0
"734964",1,0,1,1,0,0,0
"786046",1,0,1,0,1,1,1
"824823",0,1,0,1,0,0,0
