"","playing_cards","dangerous","story","enemy","soldier","turn_alternate","warrior","ghost","magic","scary_terrifying_horror","animal"
"708479",1,1,1,1,0,0,0,0,0,0,0
"998291",0,0,0,0,1,1,1,1,1,1,1
