"","battle","realistic_accurate","online","combat","move_special_move","fast","enemy","weapon","action","fight","licensed_content_cultural_products","attack","team_group_crew_squad","mission","defend"
"632821",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"632964",0,0,0,1,1,1,1,1,1,1,1,0,0,0,0
"651837",1,1,0,1,0,0,0,0,0,1,0,1,1,1,0
"672361",0,1,0,0,0,0,0,0,0,1,0,0,0,1,1
