"","puzzle","enemy","level_stage","solve","hero","evil","story","race","action","fast","destroy_devastate_wreck","licensed_content_cultural_products","the_earth","mystery"
"605497",1,1,0,0,0,0,0,0,0,0,0,0,0,0
"610762",0,0,1,1,0,0,0,0,0,0,0,0,0,0
"959349",0,0,0,0,1,1,1,0,0,0,0,0,0,0
"959832",0,0,1,0,0,0,0,1,0,0,0,0,0,0
"971975",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"974804",1,0,1,0,0,0,0,0,0,0,0,0,0,0
"977135",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"978284",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"980488",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"986263",1,0,1,0,0,0,0,0,0,1,1,1,1,0
"988754",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"991517",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"997544",0,0,1,0,0,0,1,0,0,0,0,0,0,1
"997545",1,0,1,0,0,0,1,0,0,0,0,0,0,1
"998531",1,0,0,0,0,0,1,0,0,0,0,0,0,0
