"","compete","move_special_move","enemy","fight","battle","tournament_competition","team_group_crew_squad","collect_gather","realistic_accurate","defend","strategy_tactics","fast","attack","shoot"
"632920",1,1,0,0,0,0,0,0,0,0,0,0,0,0
"640098",1,1,1,1,1,0,0,0,0,0,0,0,0,0
"647145",0,0,1,1,1,1,1,1,0,0,0,0,0,0
"649290",0,0,0,0,0,1,0,0,1,0,0,0,0,0
"650816",0,0,0,0,0,1,1,0,1,0,0,0,0,0
"656451",0,0,0,0,0,1,1,0,0,0,0,0,0,0
"656452",0,0,0,0,0,0,0,0,1,1,0,0,0,0
"661935",0,0,0,0,0,0,0,0,1,0,1,1,0,0
"664912",0,0,0,0,1,0,0,0,1,0,0,0,1,0
"668444",0,1,0,0,0,1,1,0,0,0,0,0,0,1
