"","tournament_competition","compete","race","fight","battle","city","realistic_accurate","move_special_move","action","weapon","enemy","strategy_tactics","shoot","fast","mission"
"933059",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"935371",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"935581",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"935644",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"936582",0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
"938798",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"938801",1,0,0,1,0,0,1,0,1,1,1,1,0,0,0
"939022",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"939471",0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
"939512",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"939542",0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
"941593",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"941823",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"942052",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"942640",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"942739",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
