"","move_special_move","fast","team_group_crew_squad","tournament_competition","realistic_accurate","enemy","strategy_tactics","attack","action","compete","defeat","shoot","magic","fight","destroy_devastate_wreck","adventure"
"605819",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"939464",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"944026",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"971262",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"985985",0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"988954",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"988956",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"991045",0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
"991753",0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0
"995950",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"997301",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"997304",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"999086",0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1
