"","wall","gore_grotesque_foul","enemy","collect_gather","object","kill","magic","hit_strike_blow","dark_black_grim","army","weapon","rescue","underground","hero","smash","clear_away","armor","defeat","adventure","tower","battle","remote_isolated_undiscovered","famous","the_earth","story","vehicle","team_group_crew_squad","comic_book","destiny","epic","explore","outer_space","alien","planet","city","mystery","family"
"932329",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"932589",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"932621",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1
