"","dictator","monster","story","justice","god_deity","special_powers","demon_devil","anger_fury_rage","kingdom","spain","nobility_lord_count_baron","people","empire","rebel","time","the_earth","past","laboratory","eccentric","conspiracy","student","japan","equipment","destiny","chaos","crazy_wacky","machine","mystery","alternate_dimension_reality","family","disappear","hero"
"620232",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"657807",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"826388",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
