"","quest","explore","defeat","discover_reveal","investigate","smart_clever_wit","mini_game","collect_gather","solve","search"
"630328",1,1,0,0,0,0,0,0,0,0
"632836",1,0,1,1,1,0,0,0,0,0
"638951",0,0,0,1,1,1,1,1,1,1
"958041",0,0,0,1,0,0,0,0,0,0
