"","rules_regulations","celebrity_star_idol","luck_chance","poker","career","symbol_icon","casino","challenge","table_playing_area","tournament_competition","puzzle","bet_gamble","story","match_link_couple","compete","prize_trophy","win","pro_professional","contest_match"
"932273",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"932354",0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0
"936467",0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1
