"","army","level_stage","leader","ancient","invasion","creature","prize_trophy","ghost","special_powers","worlds_realm_land_world","side_scrolling","licensed_content_video_games","arcade","weapon","myth_legend","sword","realistic_accurate","x3d","warrior","mystery","war","struggle","classic","enemy"
"928518",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"939067",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"940048",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0
"945861",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
