"","brutal_violent_cruel","movie_film","elite_the_best","police","outer_space","soldier","story","licensed_content_video_games","truth","human_race_mankind","remote_isolated_undiscovered","open_world_sandbox","demon_devil","the_earth","kingdom","destroy_devastate_wreck"
"930279",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
"934605",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
