"","explode_blast","action","combo","clear_away","arcade","shoot","pilot","match_link_couple","story","puzzle","fast","collect_gather","missile","weapon","create_design","outer_space","reflex","gem_diamond","trap","level_stage","underwater_animal"
"931333",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"931334",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
