"","romance_love","robot","city","police","scary_terrifying_horror","survive","story","licensed_content_cultural_products","apocalypse","zombie"
"640836",1,1,1,0,0,0,0,0,0,0
"691380",0,0,0,1,1,1,1,1,1,1
