"","army","team_group_crew_squad","attack","licensed_content_cultural_products","action","story","licensed_content_video_games","weapon","human_race_mankind","city","rescue","fast","the_earth","destroy_devastate_wreck","magic","dangerous","level_stage","adventure","enemy","mystery","war","epic"
"614208",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"632705",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"632900",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"652686",0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"673455",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"695534",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"696965",0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"703246",0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"715207",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"721166",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"727962",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"950897",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"960699",1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
