"","drama","pilot","combat","story","elite_the_best","helicopter","gun","war","global_international_around_the_world","team_group_crew_squad","plane","ground_on_land","reconnaissance","mission","aerial","enemy","realistic_accurate","bomb","fly","clear_away","attack","battle","target","simulation","vehicle","defend","epic","politics","country_nation","the_west","power_control_rule","oil","territory","reunite","army","modern_contemporary_present","leader","fight","peace_order","school","shoot","base_headquarter_fort","soldier","dangerous","compete","honor","communication"
"604704",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"621364",0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"639414",0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"996871",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1
