"","tournament_competition","shot_sports","elite_the_best","fantasy","licensed","battle","golf","momentum","golf_course","bike_motorbike","skateboarding","customize","money","classic","stunt","mark_tattoo","equipment","story","famous","mountain","snow_mobile_sled","skill_technique","ski_snow","earn","snowboard","clear_away","challenge","accusation","bet_gamble","pool_billiards"
"928262",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"928296",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"928316",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0
"930852",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
