"","compete","battle","fight","defeat","move_special_move","strategy_tactics","attack","hack_and_slash","stab","confront","escape","adventure","revenge","combo","combat","mini_game"
"932831",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"934034",0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0
"934714",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"935217",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"935655",0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0
"937271",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"937327",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
"937627",0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"938635",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"939645",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
