"","mission","battle","defeat","combat","shoot","fight","strategy_tactics","explore","defend","rescue","attack","destroy_devastate_wreck","compete","discover_reveal","solve","adventure","collect_gather","move_special_move","fast"
"928149",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"928301",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"930159",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"932615",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"932860",1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"933004",0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"933103",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"933155",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"935323",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"935837",0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
"937407",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"938088",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"938348",0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0
"938611",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"939069",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"939322",0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
"939539",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"941651",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"941825",0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"941873",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"942898",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"943037",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"943279",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"943281",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"943282",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"943339",0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"943401",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"943663",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"943666",0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0
"943729",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"944073",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"944114",0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
"944198",1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"944401",1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"944446",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"944521",0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"944795",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"944855",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"945095",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"945399",0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
"946172",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"947081",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"949392",0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0
"950901",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"950903",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"950925",0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
"950927",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"951591",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"951884",0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
"952380",1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0
"953371",0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
"954021",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
