"","destroy_devastate_wreck","rescue","solve","mission","adventure","defend","fight","move_special_move","attack"
"622370",1,0,0,0,0,0,0,0,0
"632677",0,1,0,0,0,0,0,0,0
"652585",0,0,1,0,0,0,0,0,0
"659951",0,0,0,1,1,0,0,0,0
"659955",0,0,0,0,0,1,1,1,1
