"","compete","collect_gather","race","move_special_move","defend","battle","combat","fight","adventure","rescue","fast","strategy_tactics","solve","discover_reveal","evil","explore","shoot","defeat","mission","attack","destroy_devastate_wreck"
"605150",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"605345",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"610675",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"615371",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"943726",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"945064",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"945065",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"954374",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"957906",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"961563",0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"970803",1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"970808",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"971936",0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0
"972659",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"976492",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"981293",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"984933",1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"986294",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"990005",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"990630",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"990874",0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0
"991203",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
"991475",0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
"991477",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"995982",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"997552",0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0
"997884",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"998127",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"998584",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"999436",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
