"","weapon","battle","combat","shoot","attack","tournament_competition","enemy","move_special_move","defend","fast","story","strategy_tactics","destroy_devastate_wreck","fight","level_stage","realistic_accurate","compete","team_group_crew_squad","action"
"620506",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"626633",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"627044",0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"630107",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"630325",0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0
"632923",0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0
"635803",0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0
"637240",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"646483",0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0
"961032",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"995375",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"999446",0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1
