"","hostile_aggressive","escape","hit_strike_blow","armor","survive","online","singleplayer","building_structure","explode_blast","level_stage","underground","avoid","capture","kill","bomb","enemy","battle","human_race_mankind","multiplayer","ground_on_land","soldier","fight","destroy_devastate_wreck","weapon","licensed_content_video_games","dangerous","smash","find","climb","build_construct","machine","mystery"
"929921",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"936124",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
