"","licensed_content_cultural_products","city","evil","destroy_devastate_wreck","team_group_crew_squad","action"
"622370",1,1,0,0,0,0
"632677",0,0,1,1,0,0
"652585",1,0,0,0,0,0
"659951",1,0,0,0,1,0
"659955",0,0,1,0,1,1
