"","enemy","puzzle","fast","level_stage","evil","tournament_competition","epic","team_group_crew_squad","action","shoot","licensed_content_cultural_products","magic","the_earth","destroy_devastate_wreck"
"937398",1,1,0,0,0,0,0,0,0,0,0,0,0,0
"942135",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"944900",1,1,0,1,1,0,0,0,0,0,0,0,0,0
"945273",0,0,0,1,0,1,0,0,0,0,0,0,0,0
"945458",1,0,0,0,0,0,1,0,0,0,0,0,0,0
"945858",0,0,0,0,0,0,0,1,1,0,0,0,0,0
"946021",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"946119",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"946762",1,1,0,0,0,0,0,0,0,0,0,0,0,0
"952258",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"953031",0,0,1,0,0,1,0,0,0,0,0,0,0,0
"954304",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"954407",0,0,0,0,0,0,0,0,0,0,0,1,1,1
"954724",0,0,0,1,0,0,0,0,0,0,0,0,0,0
