"","avoid","move_special_move","find","pop_burst","teaching","collect_gather","ride","create_design","instructions","interact","social","solve","care_for_raise","perform_entertain","explore","customize","encounter","party_celebrate","romance_love","adventure"
"610892",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"632708",0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0
"639173",0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
