"","stunt","fight","race","jump","drive","destroy_devastate_wreck","impress","strategy_tactics","explode_blast","chase_pursue","block_obstruction","fast","hunt","combat","avoid","compete"
"739660",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"799987",1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"872798",0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0
"887306",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
