"","night","destroy_devastate_wreck","london","evidence","police","stealth","innocent","suspect","case_matter_to_investigate","licensed_content_cultural_products","corrupt","city","prove","investigate","steal_theft","famous","kill","escape","doctor_medic","betray","history","detective_sleuth","instinct","evil","machine","friend","journey","emotion","reptile","hunger","health","search","change_transform_evolve","good","monster","boy_man","toxic_poison","food","rescue","car","adventure","licensed_content_video_games","challenge","race","solve","time","travel","wild_land_animal","europe","show_entertainment","find","mission","team_group_crew_squad","home","all_ages","mini_game","circus","united_states","defend","classic","fairy","fight","myth_legend","easter_bunny","action","kids","nightmare","guardian","move_special_move","arsenal","ghost","santa_claus","attack","multiplayer"
"622370",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"632677",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"652585",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"659951",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"659955",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
