"","brutal_violent_cruel","movie_film","elite_the_best","agent","police","outer_space","soldier","relax_chill_mellow","story","licensed_content_video_games","truth","human_race_mankind","remote_isolated_undiscovered","leader","open_world_sandbox","first_person","demon_devil","the_earth","pillage_raid_plunder","class_breed_race","kingdom","destroy_devastate_wreck"
"930279",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"934605",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
