"","friend","music","all_ages","team_group_crew_squad","arena_stadium","movie_film","school","perform_entertain","licensed_content_cultural_products","missile","x3d","dance","city","rhythm","party_celebrate","band_music_group","music_band_name","myth_legend","tournament_competition","contest_match","celebrity_star_idol","united_states"
"932935",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"935834",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"937722",0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"937889",0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0
"938140",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"938735",0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"938870",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"939093",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"942056",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"942807",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
"942926",1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
