"","licensed_content_cultural_products","level_stage","explore","adventure","puzzle","multiplayer","rescue","city","mystery","discover_reveal","battle","action"
"622897",1,1,1,1,1,1,0,0,0,0,0,0
"640910",1,0,0,1,0,0,1,0,0,0,0,0
"988983",0,0,0,0,0,0,0,1,1,1,1,1
