"","shoot","magic","snow","relax_chill_mellow","bird","food","clone","lava","building_structure","dance","fight","smash","home","family","story","mystery","tree","navigate","forest","object","head_face","licensed_content_cultural_products","imagination","word","reading","singleplayer","virtual_reality","book","mini_game"
"647271",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"665234",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"673026",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
