"","revenge","battle","combat","attack","move_special_move","shoot","avoid","defend","strategy_tactics","fight","confront","melee","strength_physical","customize","learn","win","compete"
"620506",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"626633",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"627044",0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"630107",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"630325",0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"632923",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"635803",0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0
"637240",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"646483",0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
"995375",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"999446",0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
