"","team_group_crew_squad","bike_motorbike","stunt","fight","race","contest_match","hero","career","jump","racetrack","drive","tournament_competition","licensed","destination_finish_line","destroy_devastate_wreck","car","impress","crowd_audience_spectators","debris","off_road","strategy_tactics","explode_blast","obstacle","enemy","chase_pursue","block_obstruction","frantic","small_mini","train_railroads","vehicle","fast","hunt","table_playing_area","chaos","spin_rotate","farming","fire_flame","combat","shortcut","avoid","bomb","hammer","food","powerup_pickup","classic","crazy_wacky","compete","rail","dinosaur","kitchen","arcade","gun"
"739660",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"799987",0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"872798",1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"887306",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
