"","realistic_accurate","licensed_content_video_games","enemy","defend","compete","fast","city","shoot","destroy_devastate_wreck","online","multiplayer","tournament_competition","move_special_move","attack","team_group_crew_squad","strategy_tactics","action","defeat"
"930760",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"934868",1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"935184",0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"935845",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
"936391",1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"937279",0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0
"938344",0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
"938464",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"938657",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"939619",0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1
"941650",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
