"","multiplayer","tournament_competition","battle","licensed_content_video_games","story","online","fast"
"928262",1,1,1,1,0,0,0
"928296",0,0,0,1,1,0,0
"928316",0,0,0,0,1,1,0
"930852",1,0,0,0,0,1,1
