"","explore","move_special_move","battle","rescue","destroy_devastate_wreck","shoot","defeat","mission","compete","race","discover_reveal","mystery","collect_gather","solve","adventure","attack","defend","fight"
"603731",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"611715",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"611875",0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"612410",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"615370",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"954432",0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
"954487",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"960343",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"960584",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"960923",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"972792",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"975515",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"977453",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"980388",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"982129",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"982250",1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
"984984",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"988753",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"988805",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"990836",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"991005",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"991067",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"997575",0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"997761",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
