"","baseball","swing","challenge","compete","command_lead","journey","american_football","mini_game","tough","skill_technique","hit_strike_blow","perform_entertain","hockey","basketball","attack","soccer","defend","smash","destroy_devastate_wreck","win","block_obstruction"
"612200",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"616326",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"624639",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"627222",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"627288",0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0
"627462",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"630380",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"630498",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"632493",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"997359",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1
