"","mini_game","rescue","search","learn","story","move_special_move","lost_missing","all_ages","color","train_practice","object","dance","animal","smart_clever_wit","ball","adventure","run_dash_sprint","water","jump","fly","solve","island","plane","mystery","escape","action","defend","collect_gather","explore"
"971738",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"974358",0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"979377",0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
