"","drive","race","fast","compete","hunt","chase_pursue","defeat","eliminate","jump","battle","destroy_devastate_wreck","demolition_derby","kill","event","capture","flag","stunt","create_design"
"604291",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"605586",0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"605593",0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"605961",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"614995",1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"620598",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"621031",1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"628160",1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"630985",0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
"638789",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"971360",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
"998009",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
