"","story","licensed_content_video_games","solve","adventure","journey","mountain","time","mystery","destiny","new_york","company_business_corporation","magic","puzzle","robot"
"760213",1,1,0,0,0,0,0,0,0,0,0,0,0,0
"895981",1,0,1,1,1,1,1,1,1,1,1,1,1,1
