"","race","run_dash_sprint","smash","compete","destroy_devastate_wreck","win","combat","attack","survive","drive","customize","mountain","climb","time","stunt","fast","fight","crash","move_special_move"
"928392",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"928393",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"932731",1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"932887",1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0
"938450",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"938743",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"939739",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"941954",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
"942038",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"943413",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
