"","attack","level_stage","action","dangerous","enemy","fast","destroy_devastate_wreck","human_race_mankind","licensed_content_cultural_products","the_earth","evil","mystery","weapon","story","puzzle","army","epic","city","hero","team_group_crew_squad","licensed_content_video_games"
"609526",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"621666",0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"623313",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"625850",0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"632976",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"637912",0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
"978615",0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0
"978622",0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
"980782",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"997605",0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
"997847",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
