"","fire_flame","mission","crazy_wacky","combo","hit_strike_blow","manipulate","lost_missing","object","machine","journey","find","mystery","physics","family","travel"
"620816",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"640915",0,0,1,0,0,1,1,1,1,1,1,1,1,1,1
