"","multiplayer","tournament_competition","shot_sports","elite_the_best","fantasy","licensed","battle","licensed_content_video_games","licensed_tournament","golf","bike_motorbike","customize","money","classic","stunt","equipment","united_states","story","famous","mountain","skill_technique","online","clear_away","challenge","fast","time"
"928262",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"928296",0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"928316",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0
"930852",1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
