"","explode_blast","combo","clear_away","shoot","match_link_couple","collect_gather","create_design","reflex","drink","grow","swim","eat"
"931333",1,1,1,1,1,1,1,1,0,0,0,0
"931334",0,0,0,0,0,0,0,0,1,1,1,1
