"","destroy_devastate_wreck","epic","quest","adventure","creature","combat","fast","change_transform_evolve","explore","action","special_powers","warrior","enemy","travel","rescue","licensed_content_cultural_products","boy_man","story","monster"
"516505",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"926982",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1
