"","comedy_humor_funny","fantasy","all_ages","licensed_content_cultural_products","level_stage","puzzle","monster","dream","city","criminal","mystery","united_states","history","clue","truth","conspiracy","action","brutal_violent_cruel","kill"
"622897",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"988983",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
